mir_name,NPC0023_notPreg,NPC0027_notPreg,NPC0028_notPreg,NPC0031_notPreg,NPC0032_notPreg,NPC0036_notPreg,NPC0038_notPreg,NPC0039_notPreg,NPC0043_notPreg,NPC0045_notPreg,NPC0047_notPreg,NPC0049_notPreg,NPC0052_notPreg,NPC0054_notPreg,NPC0055_notPreg,NPC0056_notPreg,NPC0060_notPreg,NPC0062_notPreg,NPC0063_notPreg,NPC0067_notPreg,NPC0068_notPreg,NPC0070_notPreg,NPC0076_notPreg,NPC0077_notPreg,PAC0019_preg,PAC0068_preg,PAC0092_preg,PAC0094_preg,PAC0101_preg,PAC0106_preg,PAC0110_preg,PAC0113_preg,PAC0121_preg,PAC0125_preg,PAC0126_preg,PAC0128_preg,PAC0130_preg,PAC0135_preg,PAC0137_preg,PAC0141_preg,PAC0148_preg,PAC0183_preg,PAC0186_preg,PAC0191_preg,PAC0193_preg,PAC0196_preg,PAC0198_preg,PAC0200_preg,PAC0202_preg,PAC0203_preg,PAC0204_preg,PAC0208_preg,PAC0211_preg,PAC0214_preg,PAC0215_preg,PAC0219_preg,PAC0221_preg,PAC0222_preg
hsa-let-7a-5p,34884,29245,31451,93596,35398,24067,26435,40325,68136,45665,23937,189939,40766,50175,44787,132870,157179,1147951,1236393,36159,178940,53096,1420768,947211,246751,644675,95941,472098,62116,77325,1317536,349058,461701,77337,54863,447398,50436,155772,51314,97918,854355,81261,163213,132828,108498,223460,995255,108827,305448,67698,132652,110073,161729,127056,256374,461392,38418,29895
hsa-let-7b-3p,4,7,5,21,2,4,7,16,20,10,6,171,2,7,6,19,9,69,41,7,12,5,79,51,13,639,28,52,10,17,254,14,534,13,9,197,14,13,27,22,54,19,27,25,32,43,45,23,52,15,2,19,15,18,114,91,4,18
hsa-let-7b-5p,26882,22613,26883,76656,28311,22728,22167,33662,45169,32079,22113,136187,33903,41362,34440,116946,118387,434710,540045,26046,119277,34901,418278,544517,123884,907222,84442,433032,57876,66216,941684,227022,506656,67356,41059,423965,39945,114394,46212,79821,368774,74687,154919,102247,110613,192907,541478,99919,181602,61339,56836,91894,113216,117498,295938,425891,34538,33464
hsa-let-7c-5p,504,389,532,1276,596,523,465,649,866,743,470,44910,550,737,920,1889,2283,9837,13753,591,1901,815,11870,9250,2909,5628,1558,5702,1200,1475,5393,4835,4648,1284,872,4125,797,2471,1418,1562,9664,909,2611,1579,3240,2878,10939,1762,4996,1392,1403,1347,1496,1960,6083,14062,461,948
hsa-let-7d-3p,176,181,151,681,164,216,171,423,329,238,154,4725,181,187,190,744,564,3932,3040,166,527,161,4102,2378,538,7153,792,1767,424,567,2863,1077,4905,533,344,3467,412,490,695,787,2303,508,750,553,963,962,2243,920,1624,504,267,696,704,671,2691,3046,152,370
hsa-let-7d-5p,1364,1109,1037,1745,1383,812,1039,1163,1689,1113,834,3166,1562,1524,1384,3560,5257,49271,33662,1136,4025,1386,48799,24145,4774,28854,2329,9943,1485,1676,39751,7246,23128,1655,1195,10503,1322,3210,1161,2064,20748,2072,3577,3279,2655,4423,21386,2131,5219,1593,2809,2940,3888,2688,5328,12843,1217,893
hsa-let-7e-5p,721,354,326,442,701,403,491,359,530,380,362,2354,660,828,679,940,2830,37271,23705,576,1156,644,22736,9833,2344,1257,815,2868,614,485,1800,4731,685,754,387,1201,414,1466,481,582,9026,426,657,758,713,1135,5932,981,701,580,949,593,909,1040,707,1164,510,350
hsa-let-7f-1-3p,2,0,1,3,0,0,0,1,0,0,0,13,0,0,0,3,1,26,15,2,1,1,14,7,1,37,0,6,1,0,45,2,53,1,1,4,1,0,3,0,6,0,2,2,0,6,7,3,2,1,0,0,0,2,7,7,1,1
hsa-let-7f-5p,17116,7802,8152,25838,17746,8184,10622,9340,20535,16496,7462,70485,17907,21781,18042,41974,80660,1470105,645311,15902,53715,22316,1238140,397855,83498,154486,27049,149095,21593,17875,532395,112374,154854,25997,17759,94578,13955,42960,15222,25701,397905,17061,27015,27089,28880,50694,471190,30787,48155,20740,43357,29951,38682,37856,37347,84233,14898,9926
hsa-let-7g-5p,1758,1419,1713,4686,1731,1644,1588,2492,4333,3135,1452,5837,2253,2707,2058,6687,7468,107660,40296,1807,6744,2448,74246,31134,7286,44007,5463,17507,3560,4054,70063,10613,49206,4005,3309,22682,2806,4993,2884,5339,26239,4676,7198,5142,4782,9335,46395,3590,14459,3858,3771,6651,6282,5175,10321,24060,1960,1839
hsa-let-7i-3p,1,1,1,7,0,2,2,4,13,1,4,11,2,0,5,6,6,73,13,2,5,0,64,13,4,172,4,11,4,7,301,10,272,4,4,55,4,4,2,7,15,10,12,7,9,9,62,3,22,4,3,12,8,8,30,63,3,3
hsa-let-7i-5p,12799,7664,8259,17470,12781,7624,9173,8905,18100,10813,7260,47136,14632,15681,12897,30970,53561,747902,448721,11742,34025,14910,495868,233061,50419,232323,21576,101582,17578,16036,715891,65252,348234,18801,13420,81977,11927,27891,13805,22217,232151,20175,27000,25073,24952,37317,259392,21974,48196,16340,23258,24876,32570,28338,49226,124686,11308,10064
hsa-miR-1-3p,50,16,65,27,50,36,27,39,32,40,25,468,33,55,64,54,144,12942,1157,36,65,105,5548,1103,63,40,38,67,21,14,52,124,35,19,25,52,33,53,16,31,193,43,29,52,47,48,517,62,26,37,58,20,61,46,34,51,25,37
hsa-miR-100-5p,6,9,6,12,6,3,5,11,3,4,1,1072,4,4,13,12,13,35,25,2,14,2,46,17,2,31,11,22,2,4,1100,13,23,11,4,61,41,4,17,7,33,4,7,13,12,44,58,10,20,6,0,11,19,12,68,30,9,41
hsa-miR-101-3p,964,2021,2287,5104,891,1761,1922,3568,4284,2866,1301,4866,1606,1682,926,3411,2915,31075,6130,1020,5010,1813,13944,11780,3339,17361,4080,7251,3123,2772,42292,4101,37641,3476,3369,14372,2653,2365,2504,5388,11557,5813,7500,5819,5900,7769,26801,2878,10207,3706,2750,6834,6491,4406,10853,15213,1479,2491
hsa-miR-101-5p,1,1,0,3,1,1,1,0,2,3,0,2,3,2,5,2,1,9,0,1,5,1,8,4,1,21,2,5,3,0,40,1,30,0,1,8,0,5,2,5,7,3,2,2,3,4,15,2,7,0,5,2,2,1,3,12,1,2
hsa-miR-103a-3p,5090,2728,2994,10116,5377,2922,3770,3822,11281,4974,2566,31331,5549,6631,5407,21103,22399,361422,286834,4966,16881,6156,262669,101461,18574,120730,10485,43855,6758,8589,347176,34651,206453,9140,6192,52262,4122,13049,5759,12956,92325,6387,11501,8303,13023,18890,98851,11054,18610,7988,9856,13994,15787,12061,14263,40721,3961,3442
