mir_name,Clear_1,Caution_1,Caution_2,Caution_3,Clear_2,Clear_3
hsa-let-7a-3p,5,12,14,47,0,0
hsa-let-7a-5p,1624,1300,2276,6802,730,108
hsa-let-7b-3p,9,10,50,36,0,0
hsa-let-7b-5p,5989,7250,12892,24628,5172,764
hsa-let-7c-5p,53,122,104,677,26,7
hsa-let-7d-3p,643,554,1784,1098,100,25
hsa-let-7d-5p,246,100,223,426,84,6
hsa-let-7e-3p,0,0,0,3,0,0
hsa-let-7e-5p,86,5,14,59,11,7
hsa-let-7f-1-3p,7,0,0,0,0,0
hsa-let-7f-2-3p,0,0,1,3,0,0
hsa-let-7f-5p,970,536,1296,3873,313,64
hsa-let-7g-5p,551,1044,2506,6427,247,78
hsa-let-7i-3p,0,0,4,7,0,0
hsa-let-7i-5p,1552,1146,3081,6516,786,102
hsa-miR-100-5p,44,131,336,555,6,1
hsa-miR-101-3p,644,1304,3293,6617,97,16
hsa-miR-101-5p,0,0,0,0,0,0
hsa-miR-103a-3p,151,59,165,270,6,2
hsa-miR-103b,80,121,123,211,0,0
hsa-miR-106a-5p,2,3,22,29,1,0
hsa-miR-106b-3p,67,77,290,210,12,1
hsa-miR-106b-5p,18,30,88,197,12,0
hsa-miR-107,13,27,35,30,0,0
hsa-miR-10a-3p,0,3,0,0,0,0
hsa-miR-10a-5p,502,562,2823,2429,112,13
hsa-miR-10b-3p,0,0,0,0,0,0
hsa-miR-10b-5p,239,403,2950,1888,16,1
hsa-miR-1180-3p,95,124,280,298,6,1
hsa-miR-1185-1-3p,14,0,0,0,0,0
hsa-miR-1185-2-3p,0,0,0,0,0,0
hsa-miR-1193,0,0,1,0,0,0
hsa-miR-1207-3p,0,0,0,0,0,0
hsa-miR-1224-5p,0,0,3,3,0,0
hsa-miR-1225-3p,0,0,0,0,0,0
hsa-miR-122-5p,1032,1307,14965,32552,1378,170
hsa-miR-1226-3p,1,0,0,3,0,0
hsa-miR-1227-3p,0,0,0,0,0,0
hsa-miR-1228-5p,1,12,40,16,62,0
hsa-miR-1229-3p,0,1,0,0,2,1
hsa-miR-1229-5p,0,0,0,0,0,0
hsa-miR-1238-3p,0,0,3,4,1,0
hsa-miR-1244,0,0,0,0,0,0
hsa-miR-1246,12,21,110,124,0,0
hsa-miR-1247-5p,0,0,0,0,0,0
hsa-miR-1248,0,0,0,0,0,0
hsa-miR-1249-3p,9,0,0,0,13,0
hsa-miR-1250-5p,0,0,0,0,0,0
hsa-miR-1254,0,0,0,0,0,0
hsa-miR-1255a,1,8,0,0,0,0
hsa-miR-1255b-5p,0,1,0,6,0,0
hsa-miR-125a-3p,4,0,0,0,0,0
hsa-miR-125a-5p,72,11,78,37,25,0
hsa-miR-125b-1-3p,0,0,0,0,0,0
hsa-miR-125b-2-3p,0,1,1,3,0,0
hsa-miR-125b-5p,6,16,135,50,1,0
hsa-miR-1260a,6,2,11,0,5,0
hsa-miR-1260b,7,0,18,0,8,0
hsa-miR-126-3p,2193,562,2180,2495,154,32
hsa-miR-126-5p,96,41,49,130,6,2
hsa-miR-1268a,0,0,1,3,1,0
hsa-miR-1268b,0,0,0,0,0,0
hsa-miR-1270,3,0,0,0,0,0
hsa-miR-1271-5p,0,0,0,0,0,0
hsa-miR-1273a,7,1,19,8,3,0
hsa-miR-1273c,0,0,0,11,0,0
hsa-miR-1273d,0,0,0,2,0,0
hsa-miR-1273e,0,0,34,0,4,3
hsa-miR-1273f,0,1,4,1,0,0
hsa-miR-1273g-3p,0,0,0,0,0,0
hsa-miR-1273g-5p,0,0,0,0,1,0
hsa-miR-1273h-3p,36,1,46,12,9,0
